per,sec,sub,stf,per_set,sec_ppw,sub_ppw,sub_weight,stf_max_ppw,sec_name,sub_name,stf_name
P446,G10,S17,T4,false,85,6,1,27,7B,SS,KRU
P447,G10,S17,T4,false,85,6,1,27,7B,SS,KRU
P448,G10,S14,T3,false,85,3,1,27,7B,PT,DEE
P449,G10,S14,T3,false,85,3,1,27,7B,PT,DEE
P450,G10,S14,T3,false,85,3,1,27,7B,PT,DEE
P451,G11,S1,T11,false,85,2,1,27,7C,COM,SHU
P452,G11,S1,T11,false,85,2,1,27,7C,COM,SHU
P453,G11,S2,T7,false,85,1,1,27,7C,DC,MAL
P454,G11,S3,T17,false,85,6,1,27,7C,EN,KUM
P455,G11,S3,T17,false,85,6,1,27,7C,EN,KUM
P456,G11,S3,T17,false,85,6,1,27,7C,EN,KUM
P457,G11,S3,T17,false,85,6,1,27,7C,EN,KUM
P458,G11,S3,T17,false,85,6,1,27,7C,EN,KUM
P459,G11,S3,T17,false,85,6,1,27,7C,EN,KUM
P460,G11,S4,T17,false,85,1,1,27,7C,ENC,KUM
P461,G11,S6,T16,false,85,4,1,27,7C,KAN,VEE
P462,G11,S6,T16,false,85,4,1,27,7C,KAN,VEE
P463,G11,S6,T16,false,85,4,1,27,7C,KAN,VEE
P464,G11,S6,T16,false,85,4,1,27,7C,KAN,VEE
P465,G11,S7,T6,false,85,1,1,27,7C,LL,JYO
P466,G11,S8,T20,false,85,6,1,27,7C,MATH,SND
P467,G11,S8,T20,false,85,6,1,27,7C,MATH,SND
P468,G11,S8,T20,false,85,6,1,27,7C,MATH,SND
P469,G11,S8,T20,false,85,6,1,27,7C,MATH,SND
P470,G11,S8,T20,false,85,6,1,27,7C,MATH,SND
P471,G11,S8,T20,false,85,6,1,27,7C,MATH,SND
P472,G11,S10,T10,false,85,1,1,27,7C,MG,SRU
P473,G11,S11,T20,false,85,2,1,27,7C,MS,SND
P474,G11,S11,T20,false,85,2,1,27,7C,MS,SND
P475,G11,S12,T7,false,85,1,1,27,7C,MUS,MAL
P476,G11,S13,T7,false,85,1,1,27,7C,NIE,MAL
P477,G11,S15,T18,false,85,4,1,27,7C,SAN,ROO
P478,G11,S15,T18,false,85,4,1,27,7C,SAN,ROO
P479,G11,S15,T18,false,85,4,1,27,7C,SAN,ROO
P480,G11,S15,T18,false,85,4,1,27,7C,SAN,ROO
P481,G11,S16,T6,false,85,6,1,27,7C,SCI,JYO
P482,G11,S16,T6,false,85,6,1,27,7C,SCI,JYO
P483,G11,S16,T6,false,85,6,1,27,7C,SCI,JYO
P484,G11,S16,T6,false,85,6,1,27,7C,SCI,JYO
P485,G11,S16,T6,false,85,6,1,27,7C,SCI,JYO
P486,G11,S16,T6,false,85,6,1,27,7C,SCI,JYO
P487,G11,S17,T5,false,85,6,1,27,7C,SS,JK
P488,G11,S17,T5,false,85,6,1,27,7C,SS,JK
P489,G11,S17,T5,false,85,6,1,27,7C,SS,JK
P490,G11,S17,T5,false,85,6,1,27,7C,SS,JK
P491,G11,S17,T5,false,85,6,1,27,7C,SS,JK
P492,G11,S17,T5,false,85,6,1,27,7C,SS,JK
P493,G11,S14,T7,false,85,3,1,27,7C,PT,MAL
P494,G11,S14,T7,false,85,3,1,27,7C,PT,MAL
P495,G11,S14,T7,false,85,3,1,27,7C,PT,MAL
P496,G12,S1,T3,false,85,2,1,27,7D,COM,DEE
P497,G12,S1,T3,false,85,2,1,27,7D,COM,DEE
P498,G12,S2,T18,false,85,1,1,27,7D,DC,ROO
P499,G12,S3,T3,false,85,6,1,27,7D,EN,DEE
P500,G12,S3,T3,false,85,6,1,27,7D,EN,DEE
P501,G12,S3,T3,false,85,6,1,27,7D,EN,DEE
P502,G12,S3,T3,false,85,6,1,27,7D,EN,DEE
P503,G12,S3,T3,false,85,6,1,27,7D,EN,DEE
P504,G12,S3,T3,false,85,6,1,27,7D,EN,DEE
P505,G12,S4,T1,false,85,1,1,27,7D,ENC,ASH
P506,G12,S6,T15,false,85,4,1,27,7D,KAN,UMA
P507,G12,S6,T15,false,85,4,1,27,7D,KAN,UMA
P508,G12,S6,T15,false,85,4,1,27,7D,KAN,UMA
P509,G12,S6,T15,false,85,4,1,27,7D,KAN,UMA
P510,G12,S7,T19,false,85,1,1,27,7D,LL,MAM
P511,G12,S8,T9,false,85,6,1,27,7D,MATH,CSP
P512,G12,S8,T9,false,85,6,1,27,7D,MATH,CSP
P513,G12,S8,T9,false,85,6,1,27,7D,MATH,CSP
P514,G12,S8,T9,false,85,6,1,27,7D,MATH,CSP
P515,G12,S8,T9,false,85,6,1,27,7D,MATH,CSP
P516,G12,S8,T9,false,85,6,1,27,7D,MATH,CSP
P517,G12,S10,T18,false,85,1,1,27,7D,MG,ROO
P518,G12,S11,T9,false,85,2,1,27,7D,MS,CSP
P519,G12,S11,T9,false,85,2,1,27,7D,MS,CSP
P520,G12,S12,T7,false,85,1,1,27,7D,MUS,MAL
P521,G12,S13,T8,false,85,1,1,27,7D,NIE,MLH
P522,G12,S15,T16,false,85,4,1,27,7D,SAN,VEE
P523,G12,S15,T16,false,85,4,1,27,7D,SAN,VEE
P524,G12,S15,T16,false,85,4,1,27,7D,SAN,VEE
P525,G12,S15,T16,false,85,4,1,27,7D,SAN,VEE
P526,G12,S16,T19,false,85,6,1,27,7D,SCI,MAM
P527,G12,S16,T19,false,85,6,1,27,7D,SCI,MAM
P528,G12,S16,T19,false,85,6,1,27,7D,SCI,MAM
P529,G12,S16,T19,false,85,6,1,27,7D,SCI,MAM
P530,G12,S16,T19,false,85,6,1,27,7D,SCI,MAM
P531,G12,S16,T19,false,85,6,1,27,7D,SCI,MAM
P532,G12,S17,T1,false,85,6,1,27,7D,SS,ASH
P533,G12,S17,T1,false,85,6,1,27,7D,SS,ASH
P534,G12,S17,T1,false,85,6,1,27,7D,SS,ASH
P535,G12,S17,T1,false,85,6,1,27,7D,SS,ASH
P536,G12,S17,T1,false,85,6,1,27,7D,SS,ASH
P537,G12,S17,T1,false,85,6,1,27,7D,SS,ASH
P538,G12,S14,T14,false,85,3,1,27,7D,PT,SUJ
P539,G12,S14,T14,false,85,3,1,27,7D,PT,SUJ
P540,G12,S14,T14,false,85,3,1,27,7D,PT,SUJ
